ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
-8.0;755;Þย 2์/๑;-11.0;756.0;Þย 2์/๑
-6.0;758;Þย 1์/๑;-11.0;759.0;Þย 1์/๑
-7.0;758;ย 1์/๑;-10.0;758.0;ย 1์/๑
-3.0;758;ว 1์/๑;-10.0;758.0;ว 1์/๑
-2.0;754;Þว 2์/๑;-1.0;752.0;Þว 2์/๑
4.0;752;ั 2์/๑;2.0;756.0;ั 2์/๑
4.0;759;Þว 2์/๑;2.0;758.0;Þว 2์/๑
3.0;759;Þว 2์/๑;1.0;760.0;Þว 2์/๑
4.0;765;ัย 3์/๑;0.0;767.0;ัย 3์/๑
7.0;768;ัว 2์/๑;3.0;768.0;ัว 2์/๑
6.0;764;ัว 2์/๑;1.0;764.0;ัว 2์/๑
1.0;768;ัย 3์/๑;-2.0;770.0;ัย 3์/๑
5.0;770;ัว 1์/๑;-1.0;769.0;ัว 1์/๑
6.0;765;ว 2์/๑;-2.0;764.0;ว 2์/๑
9.0;760;ัว 1์/๑;-1.0;759.0;ัว 1์/๑
5.0;754;Þ 2์/๑;0.0;752.0;Þ 2์/๑
2.0;746;Þ 2์/๑;-2.0;743.0;Þ 2์/๑
2.0;741;Þว 2์/๑;2.0;740.0;Þว 2์/๑
-2.0;747;ั 2์/๑;-5.0;750.0;ั 2์/๑
-2.0;749;Þว 4์/๑;-2.0;748.0;Þว 4์/๑
5.0;749;ว 4์/๑;3.0;752.0;ว 4์/๑
1.0;758;ย 3์/๑;-2.0;759.0;ย 3์/๑
-1.0;765;ัย 4์/๑;-3.0;767.0;ัย 4์/๑
1.0;770;ย 2์/๑;-3.0;771.0;ย 2์/๑
-1.0;772;Þย 2์/๑;-4.0;770.0;Þย 2์/๑
-1.0;765;Þย 3์/๑;-4.0;764.0;Þย 3์/๑
3.0;761;Þย 2์/๑;0.0;759.0;Þย 2์/๑
6.0;755;ย 2์/๑;0.0;755.0;ย 2์/๑
4.0;753;Þย 3์/๑;0.0;753.0;Þย 3์/๑
